id,name
2710,James Cameron
1704,Gore Verbinski
525,Christopher Nolan
7,Andrew Stanton
7623,Sam Raimi
76595,Byron Howard
12891,Joss Whedon
11343,David Yates
15217,Zack Snyder
9032,Bryan Singer
12995,Marc Forster
5524,Andrew Adamson
17633,Rob Marshall
5174,Barry Sonnenfeld
108,Peter Jackson
87742,Marc Webb
578,Ridley Scott
3288,Chris Weitz
19271,Anthony Russo
36602,Peter Berg
930707,Colin Trevorrow
39,Sam Mendes
1108,Shane Black
510,Tim Burton
11091,Brett Ratner
225976,Dan Scanlon
865,Michael Bay
86270,Joseph Kosinski
7879,John Lasseter
10702,Martin Campbell
8,Lee Unkrich
36425,McG
2127,James Wan
15344,J.J. Abrams
6201,Baz Luhrmann
10723,Mike Newell
10828,Guillermo del Toro
488,Steven Spielberg
21198,Peter Sohn
59803,Brenda Chapman
58189,Justin Lin
6046,Roland Emmerich
24,Robert Zemeckis
9339,Lilly Wachowski
12890,Pete Docter
12080,Conrad Vernon
15277,Jon Favreau
1032,Martin Scorsese
18878,Rob Cohen
19769,David Ayer
4499,Tom Shadyac
11694,Doug Liman
8300,Kevin Reynolds
7775,Stephen Sommers
228134,Rupert Sanders
1032536,Robert Stromberg
32278,Matt Reeves
8965,Roland Joff\u00e9
239571,Carl Rinsch
64151,Mike Mitchell
7087,Brad Bird
70238,Chris Williams
165787,Rich Moore
66193,Chris Sanders
7213,Jonathan Mostow
15218,James Gunn
77921,Hideaki Anno
7467,David Fincher
957,Matthew Vaughn
10943,Francis Lawrence
12962,Jon Turteltaub
5231,Wolfgang Petersen
26205,James Bobin
12098,Chris Miller
81850,Duncan Jones
47005,Alan Taylor
10781,Michael Apted
1152,Oliver Stone
7930,Jan Pinkava
18863,Eric Darnell
17825,Shawn Levy
13079,Gavin Hood
15774,Chris Buck
20629,George Miller
6159,Ron Howard
11181,Kenneth Branagh
84851,Hoyt Yeatman
66739,Jonathan Liebesman
9033,Christopher McQuarrie
4945,Joe Johnston
44113,Steve Hickner
142312,Jennifer Yuh Nelson
11614,M. Night Shyamalan
21879,Simon Wells
33183,David Bowers
36588,Joe Wright
18898,Rob Minkoff
7256,Lee Tamahori
116805,Paul Feig
151007,Peter Ramsey
15002,Dean Parisot
9181,Edward Zwick
69797,Dean DeBlois
21085,Alex Proyas
7187,Richard Donner
1614,Ang Lee
54507,Jon M. Chu
52609,Breck Eisner
21692,Hironobu Sakaguchi
2690,Peter Weir
15557,Bill Condon
18865,Louis Leterrier
223,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
94075,David Soren
25598,Paul Greengrass
57741,Mark Osborne
59026,Peyton Reed
52870,Tim Johnson
13015,Phillip Noyce
6431,Darren Aronofsky
11218,Alfonso Cuar\u00f3n
65855,Ralph Zondag
18864,Tom McGrath
10965,Chris Columbus
57270,Robert Schwentke
5714,Carlos Saldanha
956,Guy Ritchie
10491,Paul Verhoeven
1090,John McTiernan
19242,Tony Gilroy
5572,Joel Schumacher
11401,John Woo
20400,Tim Story
16837,Mark Steven Johnson